Ниша;Ozon_объём;WB_объём;Ozon_div_WB;Ozon_штук;WB_штук;Ozon_штук_div_WB;Ozon_чек;WB_чек;Ozon_продавцов;WB_продавцов;WB_выкуп_%
Диваны раскладные;5269948863;2738681250;1.92;162843;130450;1.25;40452;20994;2963;1999;92
Матрас;7175869817;6849739100;1.05;615257;808228;0.76;14579;8475;3473;2708;90
Шкаф распашной;4926816380;3986889550;1.24;264110;439520;0.6;23318;9071;643;803;93
Стул + комплекты;4336447896;4461104500;0.97;373202;495623;0.75;14524;9001;6364;6747;86
Стеллаж;2672808072;3104797500;0.86;514952;936025;0.55;6488;3317;3558;8286;90
Стол обеденный;2730013615;1828344125;1.49;181439;297243;0.61;18808;6151;1398;2165;87
Комод;2163929378;2475096475;0.87;207958;587350;0.35;13007;4214;2953;3129;90
Кухонный гарнитур;1422951593;2026705400;0.7;42270;413613;0.1;42079;4900;267;1178;91
Полка;1770870408;1132083800;1.56;1346464;982711;1.37;1644;1152;23181;11710;87
Обувница;1154379075;1993377875;0.58;376657;1468959;0.26;3831;1357;6124;9157;90
Комплект садовой мебели;1497853329;1198007325;1.25;48745;82337;0.59;38410;14550;1045;2554;90
Кухонные модули;1550473292;974509825;1.59;226326;195214;1.16;8563;4992;705;1479;90
Журнальный стол;789345234;1042344275;0.76;168346;442985;0.38;5861;2353;5467;5111;86
Пуф;602411403;790629725;0.76;113782;218526;0.52;6618;3618;2869;3749;83
Столешница;801100177;292362413;2.74;148947;100261;1.49;6723;2916;575;605;86
Раскладушка;479910386;723513200;0.66;80177;156638;0.51;7481;4619;1486;1949;85
Топперы;509725888;888686385;0.57;80714;220736;0.37;7894;4026;438;821;86
Кресло-качалка;339442204;414536900;0.82;32340;39288;0.82;13120;10551;1356;844;88
Туалетный столик;438733914;841829250;0.52;40620;171801;0.24;13500;4900;1026;1142;88
Табурет;269515194;715167133;0.38;114785;255325;0.45;2934;2801;4549;6171;88
Подвесное кресло;366422788;773159775;0.47;42273;63871;0.66;10835;12105;610;999;89
Гардеробная система;508153003;254421793;2.0;36313;60518;0.6;17492;4204;159;1025;87
Кресло-кровать;419052284;370212100;1.13;25655;25894;0.99;20417;14297;797;598;86
Скамья садовая;406620297;451405150;0.9;68546;103747;0.66;7415;4351;1741;2450;90
Бескаркасный диван;281427382;969408550;0.29;12273;79826;0.15;28661;12144;399;600;90
Кресло-мешок;222735059;328513975;0.68;39643;54843;0.72;7023;5990;998;1729;82
Двухъярусная кровать;269862464;196706750;1.37;10870;8012;1.36;31031;24550;140;229;92
Обеденная группа;99834375;719609625;0.14;2585;65365;0.04;48261;11009;104;368;85
